Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;SalePrice
272;20;RL;73;39104;Pave;NA;IR1;Low;AllPub;CulDSac;Sev;ClearCr;241500
273;60;RL;92;11764;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NoRidge;290000
274;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;139000
275;20;RL;76;8314;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Mitchel;124500
276;50;RL;55;7264;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;205000
277;20;RL;129;9196;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Mitchel;201000
278;20;RL;140;19138;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Gilbert;141000
279;20;RL;107;14450;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;415298
280;60;RL;83;10005;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;ClearCr;192000
281;60;RL;82;11287;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;228500
282;20;FV;60;7200;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;185000
283;120;RL;34;5063;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;207500
284;20;RL;74;9612;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;244600
285;120;RL;50;8012;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;179200
286;160;FV;35;4251;Pave;Pave;IR1;Lvl;AllPub;Inside;Gtl;Somerst;164700
287;50;RL;77;9786;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;NAmes;159000
288;20;RL;NA;8125;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;88000
289;20;RL;NA;9819;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;122000
290;70;RL;60;8730;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;153575
291;60;RL;120;15611;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;233230
292;190;RL;55;5687;Pave;Grvl;Reg;Bnk;AllPub;Inside;Gtl;SWISU;135900
293;50;RL;60;11409;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;131000
294;60;RL;NA;16659;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;235000
295;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;167000
296;80;RL;37;7937;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Mitchel;142500
297;50;RM;75;13710;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;152000
298;60;FV;66;7399;Pave;Pave;IR1;Lvl;AllPub;Inside;Gtl;Somerst;239000
299;60;RL;90;11700;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;175000
300;20;RL;80;14000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Crawfor;158500
301;190;RL;90;15750;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Crawfor;157000
302;60;RL;66;16226;Pave;NA;IR3;Lvl;AllPub;Inside;Gtl;CollgCr;267000
303;20;RL;118;13704;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;CollgCr;205000
304;20;RL;70;9800;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;149900
305;75;RM;87;18386;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;295000
306;20;RL;80;10386;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;305900
307;60;RL;116;13474;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;225000
308;50;RM;NA;7920;Pave;Grvl;IR1;Lvl;AllPub;Inside;Gtl;IDOTRR;89500
309;30;RL;NA;12342;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Edwards;82500
310;20;RL;90;12378;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;360000
311;60;RL;NA;7685;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;165600
312;20;RL;50;8000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;132000
313;190;RM;65;7800;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;119900
314;20;RL;150;215245;Pave;NA;IR3;Low;AllPub;Inside;Sev;Timber;375000
315;70;RM;60;9600;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;178000
316;60;RL;71;7795;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;188500
317;60;RL;94;13005;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;260000
318;60;FV;75;9000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;270000
319;60;RL;90;9900;Pave;NA;Reg;Low;AllPub;Inside;Mod;NoRidge;260000
320;80;RL;NA;14115;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;187500
321;60;RL;111;16259;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NridgHt;342643
322;60;RL;99;12099;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;354000
323;60;RL;86;10380;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;SawyerW;301000
324;20;RM;49;5820;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;126175
325;80;RL;96;11275;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;242000
326;45;RM;50;5000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;87000
327;120;RL;32;10846;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Veenker;324000
328;20;RL;80;11600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;145250
329;75;RL;NA;11888;Pave;Pave;IR1;Bnk;AllPub;Inside;Gtl;BrkSide;214500
330;70;RM;60;6402;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;IDOTRR;78000
331;90;RL;NA;10624;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;119000
332;20;RL;70;8176;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;139000
333;20;RL;85;10655;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;284000
334;120;RM;59;8198;Pave;NA;Reg;Lvl;AllPub;FR3;Gtl;NridgHt;207000
335;60;RL;59;9042;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;192000
336;190;RL;NA;164660;Grvl;NA;IR1;HLS;AllPub;Corner;Sev;Timber;228950
337;20;RL;86;14157;Pave;NA;IR1;HLS;AllPub;Corner;Gtl;StoneBr;377426
338;20;RL;70;9135;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;214000
339;20;RL;91;14145;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NWAmes;202500
340;20;RL;66;12400;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;155000
341;60;RL;85;14191;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Timber;202900
342;20;RH;60;8400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;82000
343;90;RL;NA;8544;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;87500
344;120;RL;63;8849;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;266000
345;160;RM;36;2592;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;85000
346;50;RL;65;6435;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;140200
347;20;RL;NA;12772;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;151500
348;20;RL;NA;17600;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;157500
349;160;RL;36;2448;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;154000
350;60;RL;56;20431;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;NridgHt;437154
351;120;RL;68;7820;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;318061
352;120;RL;NA;5271;Pave;NA;IR1;Low;AllPub;Inside;Mod;ClearCr;190000
353;50;RL;60;9084;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;95000
354;30;RM;60;8520;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;105900
355;50;RL;60;8400;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;SWISU;140000
356;20;RL;105;11249;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;CollgCr;177500
357;20;RL;NA;9248;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;173000
358;120;RM;44;4224;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;134000
359;80;RL;92;6930;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;ClearCr;130000
360;60;RL;78;12011;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NoRidge;280000
361;85;RL;NA;7540;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Mitchel;156000
362;50;RL;NA;9144;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;145000
363;85;RL;64;7301;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;198500
364;160;RM;21;1680;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;118000
365;60;RL;NA;18800;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;NWAmes;190000
366;70;RM;59;10690;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;147000
367;20;RL;NA;9500;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;159000
368;80;RL;101;9150;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;165000
369;20;RL;78;7800;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;132000
370;20;RL;NA;9830;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;162000
371;60;RL;NA;8121;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;172400
372;50;RL;80;17120;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;ClearCr;134432
373;120;RL;50;7175;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;125000
374;20;RL;79;10634;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;123000
375;60;RL;65;8200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;219500
376;30;RL;NA;10020;Pave;NA;IR1;Low;AllPub;Inside;Sev;Edwards;61000
377;85;RL;57;8846;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;CollgCr;148000
378;60;FV;102;11143;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Somerst;340000
379;20;RL;88;11394;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;StoneBr;394432
380;60;RL;60;8123;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;179000
381;50;RL;50;5000;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;SWISU;127000
382;20;FV;60;7200;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;187750
383;60;RL;79;9245;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;213500
384;45;RH;60;9000;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;SawyerW;76000
385;60;RL;NA;53107;Pave;NA;IR2;Low;AllPub;Corner;Mod;ClearCr;240000
386;120;RL;43;3182;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;192000
387;50;RL;58;8410;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;Edwards;81000
388;80;RL;72;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;125000
389;20;RL;93;9382;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;CollgCr;191000
390;60;RL;96;12474;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;426000
391;50;RL;50;8405;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;Edwards;119000
392;60;RL;71;12209;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Mitchel;215000
393;20;RL;NA;8339;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;106500
394;30;RL;NA;7446;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;100000
395;50;RL;60;10134;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;109000
396;20;RL;68;9571;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;129000
397;20;RL;60;7200;Pave;NA;Reg;Low;AllPub;Inside;Gtl;CollgCr;123000
398;60;RL;69;7590;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;169500
399;30;RM;60;8967;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;IDOTRR;67000
400;60;FV;65;8125;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;241000
401;120;RL;38;14963;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;Veenker;245500
402;20;RL;65;8767;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;164990
403;30;RL;60;10200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;108000
404;60;RL;93;12090;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NoRidge;258000
405;60;RL;NA;10364;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;168000
406;20;RL;NA;9991;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Sawyer;150000
407;50;RL;51;10480;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SWISU;115000
408;70;RL;63;15576;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Crawfor;177000
409;60;RL;109;14154;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NridgHt;280000
410;60;FV;85;10800;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;339750
411;20;RL;68;9571;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;60000
412;190;RL;100;34650;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;Gilbert;145000
413;20;FV;NA;4403;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;Somerst;222000
414;30;RM;56;8960;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;115000
415;60;RL;59;11228;Pave;NA;IR2;Lvl;AllPub;CulDSac;Gtl;SawyerW;228000
416;20;RL;73;8899;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;181134
417;60;RL;74;7844;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;149500
418;70;RL;86;22420;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Crawfor;239000
419;50;RL;60;8160;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;126000
420;20;RL;65;8450;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;142000
421;90;RM;78;7060;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;206300
422;20;RL;NA;16635;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;NWAmes;215000
423;20;RL;100;21750;Pave;NA;Reg;HLS;AllPub;Inside;Mod;Mitchel;113000
424;60;RL;80;9200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NoRidge;315000
425;20;RL;72;9000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;139000
426;60;RM;60;3378;Pave;Grvl;Reg;HLS;AllPub;Inside;Gtl;OldTown;135000
427;80;RL;NA;12800;Pave;NA;Reg;Low;AllPub;Inside;Mod;SawyerW;275000
428;20;RL;77;8593;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;109008
429;20;RL;64;6762;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;195400
430;20;RL;130;11457;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Timber;175000
431;160;RM;21;1680;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;85400
432;50;RM;60;5586;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;OldTown;79900
433;160;RM;24;1920;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;122500
434;60;RL;100;10839;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;181000
435;180;RM;21;1890;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;81000
436;60;RL;43;10667;Pave;NA;IR2;Lvl;AllPub;CulDSac;Gtl;CollgCr;212000
437;50;RM;40;4400;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;116000
438;45;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;119000
439;30;RL;40;4280;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Crawfor;90350
440;50;RL;67;12354;Pave;Grvl;Reg;Lvl;AllPub;Corner;Gtl;Edwards;110000
441;20;RL;105;15431;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;555000
442;90;RL;92;12108;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;118000
443;50;RM;52;6240;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;162900
444;120;RL;53;3922;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;172500
445;60;RL;70;8750;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;210000
446;20;RL;73;9855;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;127500
447;20;RL;137;16492;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;190000
448;60;RL;NA;11214;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;199900
449;50;RM;50;8600;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;IDOTRR;119500
450;50;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;120000
451;30;RM;70;5684;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;110000
452;20;RL;62;70761;Pave;NA;IR1;Low;AllPub;Inside;Mod;ClearCr;280000
453;60;RL;NA;9303;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Timber;204000
454;60;FV;75;9000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;210000
455;90;RL;63;9297;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Mitchel;188000
456;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;175500
457;70;RM;34;4571;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;98000
458;20;RL;NA;53227;Pave;NA;IR1;Low;AllPub;CulDSac;Mod;ClearCr;256000
459;70;RM;NA;5100;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;161000
460;50;RL;NA;7015;Pave;NA;IR1;Bnk;AllPub;Corner;Gtl;BrkSide;110000
461;60;FV;75;8004;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Somerst;263435
462;70;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SWISU;155000
463;20;RL;60;8281;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;62383
464;70;RL;74;11988;Pave;NA;IR1;HLS;AllPub;Inside;Mod;Crawfor;188700
465;20;RL;60;8430;Pave;NA;Reg;HLS;AllPub;Inside;Mod;CollgCr;124000
466;120;RM;NA;3072;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Blmngtn;178740
467;20;RL;85;10628;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;167000
468;70;RL;79;9480;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;146500
469;20;RL;98;11428;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;250000
470;60;RL;76;9291;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;SawyerW;187000
471;120;RL;NA;6820;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;StoneBr;212000
472;60;RL;92;11952;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;190000
473;180;RM;35;3675;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;148000
474;20;RL;110;14977;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;440000
475;120;RL;41;5330;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;StoneBr;251000
476;20;RL;80;8480;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Sawyer;132500
477;20;RL;75;13125;Pave;NA;Reg;Lvl;AllPub;Inside;Mod;CollgCr;208900
478;60;RL;105;13693;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;380000
479;20;RL;79;10637;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;297000
480;30;RM;50;5925;Pave;NA;Reg;Bnk;AllPub;Inside;Gtl;OldTown;89471
481;20;RL;98;16033;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;NridgHt;326000
482;20;RL;72;11846;Pave;NA;IR1;HLS;AllPub;Inside;Gtl;NridgHt;374000
483;70;RM;50;2500;Pave;Pave;Reg;Lvl;AllPub;Corner;Gtl;OldTown;155000
484;120;RM;32;4500;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;Mitchel;164000
485;20;RL;NA;7758;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Sawyer;132500
486;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;147000
487;20;RL;79;10289;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;156000
488;20;RL;70;12243;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NWAmes;175000
489;190;RL;60;10800;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;160000
490;180;RM;21;1526;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;86000
491;160;RM;NA;2665;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;115000
492;50;RL;79;9490;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;133000
493;60;RL;105;15578;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Gilbert;172785
494;20;RL;70;7931;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;155000
495;30;RM;50;5784;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;91300
496;30;C (all);60;7879;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;34900
497;20;RL;NA;12692;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;430000
498;50;RL;60;9120;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;184000
499;20;RL;65;7800;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;130000
500;20;RL;70;7535;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;120000
501;160;RM;21;1890;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrDale;113000
502;60;FV;75;9803;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;226700
503;20;RL;70;9170;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Edwards;140000
504;20;RL;100;15602;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Crawfor;289000
505;160;RL;24;2308;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NPkVill;147000
506;90;RM;60;7596;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;124500
507;60;RL;80;9554;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;SawyerW;215000
508;20;FV;75;7862;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Somerst;208300
509;70;RM;60;9600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;161000
510;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;124500
511;20;RL;75;14559;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;164900
512;120;RL;40;6792;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;202665
513;20;RL;70;9100;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;129900
514;20;RL;71;9187;Pave;NA;Reg;Bnk;AllPub;Corner;Gtl;Mitchel;134000
515;45;RL;55;10594;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Crawfor;96500
516;20;RL;94;12220;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;402861
517;80;RL;NA;10448;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;158000
518;60;RL;79;10208;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;265000
519;60;RL;NA;9531;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;CollgCr;211000
520;70;RL;53;10918;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Crawfor;234000
521;190;RL;60;10800;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;106250
522;20;RL;90;11988;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;150000
523;50;RM;50;5000;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;159000
524;60;RL;130;40094;Pave;NA;IR1;Bnk;AllPub;Inside;Gtl;Edwards;184750
525;60;RL;95;11787;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;315750
526;20;FV;62;7500;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;176000
527;20;RL;70;13300;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;132000
528;60;RL;67;14948;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;446261
529;30;RL;58;9098;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Edwards;86000
530;20;RL;NA;32668;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Crawfor;200624
531;80;RL;85;10200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Timber;175000
532;70;RM;60;6155;Pave;NA;IR1;Lvl;AllPub;FR3;Gtl;BrkSide;128000
533;20;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;107500
534;20;RL;50;5000;Pave;NA;Reg;Low;AllPub;Inside;Mod;BrkSide;39300
535;60;RL;74;9056;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Gilbert;178000
536;190;RL;70;7000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;107500
537;60;RL;57;8924;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;CollgCr;188000
538;20;RL;NA;12735;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;NAmes;111250
539;20;RL;NA;11553;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;158000
540;20;RL;NA;11423;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;272000
541;20;RL;85;14601;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Timber;315000
542;60;RL;NA;11000;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;NoRidge;248000
543;20;RL;78;10140;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;213250
544;120;RH;34;4058;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;133000
